pv_sales,tw_sales,pv_entry_level_sales,pv_premium_sales,pv_export_sales,tw_export_sales,rural_demand_index,repo_rate,inflation_rate,consumer_confidence_index,urban_demand_index,automaker,region,vehicle_type,inventory_level,monsoon_index,gdp_growth,month,year
10924.0,89964.0,3402.0,7601.0,2639.0,,91.92,,3.71,89.45,100.49,Royal Enfield,Andaman & Nicobar,Two-Wheeler,15.0,105.53,6.25,2,2016
-1805.879359462205,65348.0,8475.0,4871.0,2561.0,9129.0,134.38,7.0,2.86,116.22,88.33,Kia,Assam,Passenger Vehicle,27.0,120.87,9.2,7,2021
13063.0,33694.0,4776.0,5788.0,4384.0,21110.0,77.44,4.75,2.15,,,Maruti Suzuki,Andaman & Nicobar,Passenger Vehicle,27.0,100.08,3.91,11,2017
24745.0,23870.0,10805.0,8236.0,4700.0,23233.0,120.63,6.5,5.55,109.29,110.46,Bajaj Auto,Puducherry,Passenger Vehicle,6.0,79.24,5.37,8,2015
-2521.7137161038445,64625.0,6203.0,16062.0,1318.0,7076.0,104.89,5.75,2.29,123.46,105.69,Bajaj Auto,Lakshadweep,Passenger Vehicle,12.0,123.52,5.15,4,2015
,40799.0,9214.0,10262.0,2916.0,,104.61,7.75,7.37,113.37,137.58,Hero MotoCorp,Mizoram,Passenger Vehicle,19.0,95.37,6.76,2,2023
26013.0,78123.0,7223.0,,3320.0,15754.0,104.83,7.75,6.26,,115.25,TVS Motor,Tamil Nadu,Two-Wheeler,17.0,95.03,5.16,10,2023
13222.0,43983.0,,8250.0,1634.0,14015.0,102.12,7.5,5.1,95.18,85.06,Hyundai,Nagaland,Passenger Vehicle,15.0,110.16,9.9,3,2016
13746.0,37914.0,8290.0,,2840.0,9278.0,96.11,5.5,2.28,94.01,84.98,Yamaha,West Bengal,Passenger Vehicle,16.0,116.93,7.0,12,2019
10674.0,32691.0,12440.0,14992.0,4744.0,12067.0,90.92,5.0,,110.44,92.96,Bajaj Auto,Maharashtra,Two-Wheeler,15.0,98.49,3.53,2,2021
11606.0,,11321.0,6687.0,3170.0,,82.25,5.5,7.19,95.8,94.75,Tata Motors,Uttar Pradesh,Two-Wheeler,,118.37,9.11,6,2018
7445.0,95257.0,17569.0,7702.0,2309.0,8318.0,,,5.41,108.05,94.65,Bajaj Auto,Andaman & Nicobar,Passenger Vehicle,35.0,123.47,6.79,3,2022
10468.0,62882.0,15605.0,8879.0,3533.0,9094.0,101.86,5.0,6.8,101.62,124.32,Mahindra,Madhya Pradesh,Passenger Vehicle,38.0,111.78,,4,2019
24427.0,32017.0,7194.0,3481.0,3729.0,8615.0,107.02,4.75,2.47,120.62,,Maruti Suzuki,Odisha,Two-Wheeler,12.0,83.39,7.78,1,2016
23063.0,122290.0,5404.0,4164.0,3296.0,15604.0,76.84,6.75,6.87,139.9,99.72,,Uttar Pradesh,Passenger Vehicle,,67.83,3.84,5,2018
9869.0,41649.0,7676.0,3864.0,2707.0,16734.0,99.48,7.5,6.76,94.5,92.17,Maruti Suzuki,Nagaland,Two-Wheeler,8.0,95.31,5.88,2,2020
18504.0,77492.0,5158.0,6331.0,4536.0,15457.0,117.77,4.0,5.41,107.67,,Mahindra,Puducherry,Two-Wheeler,16.0,128.79,4.46,7,2015
8775.0,47903.0,10314.0,3877.0,5717.0,10797.0,99.17,8.0,7.13,118.16,95.89,Renault,Andaman & Nicobar,,29.698202504925465,123.93,8.85,7,2021
18010.0,35981.0,14340.0,7002.0,2015.0,8947.0,104.97,5.25,2.93,132.66,71.38,Honda,Maharashtra,Passenger Vehicle,14.0,100.11,2.63,6,2019
21879.0,37196.0,7314.0,5106.0,6842.0,15157.0,102.82,6.5,2.0,114.79,,,Manipur,Passenger Vehicle,,99.48,6.97,12,2023
23524.0,57674.0,12973.0,7823.0,3944.0,24342.0,104.19,5.0,2.75,106.89,91.24,Tata Motors,Dadra & Nagar Haveli and Daman & Diu,,22.0,97.99,4.77,8,2022
7935.0,42835.0,10486.0,6612.0,3789.0,1238.0,109.13,6.5,2.7,97.22,93.36,TVS Motor,Punjab,Two-Wheeler,17.0,102.03,,5,2020
9389.0,27324.0,8948.0,,2449.0,20428.0,85.15,4.25,4.39,100.38,101.48,Renault,Tamil Nadu,Two-Wheeler,15.0,119.18,9.5,10,2016
,34351.0,8645.0,7593.0,4389.0,,102.23,4.75,4.67,114.79,79.88,Honda,,Passenger Vehicle,20.0,58.4,9.7,3,2016
10661.0,66890.0,7107.0,-864.1852585452297,3253.0,19755.0,,,7.73,120.36,84.14,Suzuki Motorcycle,Delhi,Two-Wheeler,13.0,128.51,2.92,11,2016
4185.0,38466.0,7579.0,,2132.0,12541.0,88.16,6.0,,123.04,110.66,Maruti Suzuki,Andaman & Nicobar,Passenger Vehicle,19.0,104.77,5.27,4,2017
18300.0,56462.0,9121.0,12181.0,2292.0,,111.25,4.75,3.29,71.79,107.92,Suzuki Motorcycle,Andaman & Nicobar,Two-Wheeler,17.0,126.49,9.77,2,2020
11543.0,115826.0,11667.0,5972.0,7630.0,15442.0,,5.5,6.44,95.99,68.97,,Sikkim,Two-Wheeler,18.0,121.47,4.19,9,2025
12874.0,13346.0,9723.0,12990.0,3404.0,10970.0,95.8,7.0,3.59,,86.36,Hero MotoCorp,Puducherry,,64.30012591732643,98.48,2.65,4,2016
7742.0,77466.0,5424.0,10643.0,3864.0,18745.0,87.11,5.0,7.05,115.23,92.21,Maruti Suzuki,Ladakh,Passenger Vehicle,28.0,107.21,6.75,6,2021
14541.0,23622.0,4589.0,10448.0,2518.0,9426.0,96.2,5.5,6.91,83.29,114.49,Yamaha,Rajasthan,Passenger Vehicle,,58.99,2.58,11,2025
22603.0,48938.0,17384.0,10456.0,3475.0,14520.0,116.78,6.75,7.4,93.0,87.66,,Delhi,Passenger Vehicle,21.0,151.21,4.55,12,2018
4639.0,95033.0,6170.0,8102.0,2023.0,9563.0,100.79,,3.75,98.92,89.91,Toyota,Meghalaya,,24.0,87.7,,1,2020
13600.0,60078.0,10013.0,8132.0,5075.0,15540.0,83.81,,4.0,120.8,92.77,TVS Motor,Dadra & Nagar Haveli and Daman & Diu,Two-Wheeler,19.0,65.71,8.83,4,2023
,42327.0,7669.0,6307.0,3918.0,,76.67,4.0,2.47,,118.33,Tata Motors,Tripura,Two-Wheeler,9.0,73.31,5.18,7,2017
16571.0,15419.0,4854.0,8080.0,3387.0,10124.0,89.92,5.0,7.22,87.08,101.28,Renault,Ladakh,Passenger Vehicle,23.0,95.09,5.3,1,2018
8142.0,52318.0,11688.0,6736.0,1919.0,14316.0,108.41,7.5,4.42,111.19,94.65,Kia,Uttarakhand,Passenger Vehicle,22.0,,6.83,12,2016
30458.0,61132.0,,4817.0,2417.0,,99.55,4.75,5.84,76.79,94.28,Bajaj Auto,Rajasthan,Passenger Vehicle,14.0,98.31,6.72,10,2017
22991.0,23705.0,9165.0,4597.0,2575.0,16039.0,93.39,6.75,3.62,104.25,98.17,Hyundai,Ladakh,Two-Wheeler,27.0,,,2,2018
7948.0,13680.0,13310.0,4387.0,3398.0,22049.0,81.12,6.5,3.02,99.65,91.66,Hero MotoCorp,Andhra Pradesh,Passenger Vehicle,30.0,90.23,7.25,4,2022
13029.0,38232.0,9657.0,7755.0,2762.0,12203.0,101.57,,3.64,92.1,125.89,Renault,Assam,Two-Wheeler,16.0,,7.3,7,2021
4713.0,27855.0,12787.0,5356.0,812.0,32894.0,98.98,7.75,7.56,107.06,98.85,Hyundai,Arunachal Pradesh,Passenger Vehicle,16.0,,,4,2021
10774.0,46923.0,5142.0,1077.0,3812.0,19879.0,102.0,7.25,5.15,119.45,92.49,Maruti Suzuki,Arunachal Pradesh,Passenger Vehicle,25.0,93.29,7.56,4,2021
,18955.0,,7519.0,2969.0,10795.0,104.59,6.0,4.01,111.81,68.36,Hyundai,West Bengal,Passenger Vehicle,17.0,128.93,7.5,8,2018
21717.0,56258.0,3758.0,11180.0,,,80.69,5.5,4.94,108.92,90.12,Hero MotoCorp,Karnataka,Two-Wheeler,10.0,105.47,3.92,7,2025
13735.0,,7703.0,1719.0,3134.0,16476.0,112.6,7.75,2.65,,103.97,Tata Motors,Tripura,Two-Wheeler,13.0,102.73,4.17,8,2021
11956.0,61029.0,14374.0,4715.0,3949.0,10491.0,89.9,,5.09,85.85,108.02,Suzuki Motorcycle,Mizoram,Passenger Vehicle,14.0,94.99,6.88,12,2021
17916.0,67058.0,15240.0,6863.0,2186.0,18144.0,71.74,7.0,3.66,133.22,,,Nagaland,Passenger Vehicle,14.0,105.53,2.14,4,2019
11687.0,77823.0,9796.0,4437.0,4320.0,26996.0,74.69,5.5,4.64,,92.77,Mahindra,Tamil Nadu,,13.0,91.91,7.05,1,2025
24432.0,33372.0,10541.0,7629.0,795.0,10366.0,87.84,4.0,7.78,75.16,108.57,Yamaha,Bihar,Passenger Vehicle,8.0,86.29,3.67,1,2023
9056.0,52428.0,11804.0,12333.0,2609.0,24220.0,104.69,8.0,4.42,86.07,84.63,,Uttarakhand,Passenger Vehicle,15.0,83.4,6.6,12,2022
7942.0,24016.0,13853.0,9046.0,3874.0,17672.0,,17.069383689807584,3.56,88.68,77.36,Maruti Suzuki,West Bengal,Passenger Vehicle,19.0,91.89,6.74,9,2023
15377.0,33642.0,13055.0,3605.0,4490.0,21897.0,80.55,5.5,6.0,96.69,87.22,Renault,Andaman & Nicobar,Two-Wheeler,14.0,99.51,7.74,8,2025
11852.0,106412.0,19647.0,3184.0,4699.0,15091.0,93.13,5.5,6.52,83.08,97.55,Hyundai,Puducherry,Passenger Vehicle,13.0,,7.25,1,2025
16730.0,41213.0,8118.0,7865.0,3834.0,14523.0,119.05,,,93.43,121.37,Royal Enfield,,Two-Wheeler,28.0,121.29,9.91,7,2019
13322.0,59321.0,7084.0,4883.0,2960.0,35032.0,78.22,7.75,7.06,111.66,90.33,Maruti Suzuki,Kerala,Two-Wheeler,18.0,83.6,9.79,1,2023
-3550.54330200145,20092.0,7124.0,13788.0,4136.0,15960.0,104.72,4.75,6.08,112.13,,TVS Motor,Rajasthan,Passenger Vehicle,17.0,,7.49,7,2019
13770.0,54179.0,8358.0,9259.0,4069.0,37580.0,97.16,6.25,2.81,108.61,,Hero MotoCorp,Himachal Pradesh,Passenger Vehicle,20.0,111.32,3.67,4,2016
13653.0,37624.0,10734.0,9850.0,5948.0,12129.0,85.32,4.5,3.79,72.11,108.55,Honda,Sikkim,Passenger Vehicle,20.0,70.21,3.7,6,2020
14479.0,81685.0,4835.0,5686.0,4142.0,14799.0,74.98,5.75,7.62,101.51,123.39,Royal Enfield,,Passenger Vehicle,26.0,67.8,5.12,10,2023
7525.0,33883.0,18370.0,,3453.0,12705.0,125.14,7.75,7.39,103.46,107.52,Honda,Uttarakhand,Passenger Vehicle,14.0,71.93,7.44,3,2015
7596.0,67531.0,10178.0,,2965.0,22945.0,101.54,5.5,5.66,101.59,89.3,Mahindra,Punjab,,17.0,,2.77,2,2025
16759.0,26853.0,,12479.0,3632.0,6317.0,131.48,6.25,6.16,104.44,77.56,Hero MotoCorp,Odisha,Two-Wheeler,,,8.14,1,2024
20098.0,46979.0,6435.0,9890.0,3006.0,8220.0,92.71,4.25,6.8,96.29,88.54,Kia,Bihar,Two-Wheeler,12.0,106.39,3.44,2,2021
15212.0,33214.0,3994.0,3857.0,2442.0,13027.0,102.02,8.0,2.22,85.79,91.36,TVS Motor,,Two-Wheeler,15.0,92.51,3.32,6,2017
21923.0,19724.0,10157.0,7493.0,,22408.0,78.16,,2.3,91.59,100.07,Royal Enfield,Meghalaya,Two-Wheeler,32.0,57.03,5.68,1,2025
5050.0,69026.0,6085.0,4156.0,4979.0,17341.0,103.68,5.75,3.41,111.94,106.3,Tata Motors,Meghalaya,Passenger Vehicle,16.0,69.6,,10,2018
18593.0,20539.0,7202.0,2551.0,3315.0,24220.0,104.66,6.25,5.44,105.39,110.81,Yamaha,Gujarat,,16.0,93.19,5.44,7,2021
8924.0,107472.0,6433.0,12443.0,3896.0,8660.0,101.95,5.75,5.39,116.63,109.12,Tata Motors,Lakshadweep,Two-Wheeler,24.0,141.59,5.97,8,2016
13958.0,68298.0,6017.0,7663.0,2729.0,12460.0,113.41,5.0,4.14,77.56,111.95,Royal Enfield,Assam,Passenger Vehicle,15.0,104.33,8.67,7,2023
6199.0,65774.0,9138.0,8497.0,2461.0,21158.0,82.91,6.25,3.79,102.96,110.64,Honda,Haryana,Passenger Vehicle,25.0,52.6,9.39,2,2021
23971.0,17305.0,6103.0,13722.0,3002.0,26561.0,81.97,5.5,6.63,96.04,95.49,Hero MotoCorp,Haryana,Passenger Vehicle,,110.46,3.53,6,2025
3720.0,36650.0,5847.0,11737.0,3636.0,12681.0,113.62,5.25,3.99,90.08,88.41,Kia,West Bengal,Passenger Vehicle,11.0,109.25,4.55,12,2018
26693.0,16445.0,10376.0,2583.0,3141.0,15048.0,80.84,4.75,3.82,120.32,106.99,Mahindra,Goa,,15.0,93.53,9.89,8,2015
34145.0,47841.0,8707.0,4048.0,3070.0,9738.0,92.41,7.25,,,77.43,Honda,Maharashtra,Passenger Vehicle,25.0,92.49,9.76,4,2018
